member_id,PC1,PC2
67,29.743268144331132,-4.889614039667873
122,-17.654887841696734,0.15721473197732053
83,-17.66863659000357,-2.1102703210326106
599,-17.322807844614537,-2.2671152974747995
130,-6.090068657233802,-1.8076936538050128
366,23.864593453025794,-2.542412956876101
583,-21.554268294789267,-1.325069873577541
355,-16.143867696443746,0.19849875942737188
528,-19.217120617608572,-2.359564003113664
249,28.346867704604552,-5.11379837218169
553,-15.700885724187277,-0.5234045553060732
360,-19.20400744065728,-1.2435115388511238
458,-23.325356146223168,-1.5035348939268702
192,-12.367139372179436,1.4003735595373599
174,-10.206641979794849,1.2816703713217663
498,32.36218984690429,-5.919586332167951
198,-13.318442312854847,-0.5721463287778381
602,-12.05566420487288,2.148889923870227
1202,27.083720878712246,-6.1101924823897855
504,-6.330187432824498,-0.3723309381506572
623,-12.409216573549696,-0.41398233439624055
420,-9.985693831615611,-1.3545942538403493
185,-4.400394412761835,9.489683310833763
282,25.087933299408473,-5.06186186458629
215,-15.295346399383526,-0.08001977719318491
3786,20.454108667015987,21.07886022115556
521,-16.116145406733125,1.6338405220250194
205,-4.262209132459705,3.013267563298709
368,21.383177817677105,-3.542326886549866
309,-14.388317263225867,-2.1433092805632867
437,-16.367453520707524,-0.462773403244587
1406,-20.735817461514138,-0.5609349224955682
412,-11.221004857808072,-0.021054566514332105
181,-14.800658056181476,3.227226238894102
509,-15.61430996173634,-1.7330649387490118
308,-21.867082082061575,-0.3147291276827106
1469,-21.19906391744738,-1.7785889636272552
496,-6.71030050227024,-1.3556634568757708
383,26.05608822797106,-3.029896090829803
480,-8.917796964111345,-1.5748167344115234
1395,7.08214848207716,0.42344475736457876
622,-6.111075402026112,1.7668221766944272
596,-10.44705706033604,-1.1062918784651883
188,21.17501906144664,21.198802211542347
218,-21.569251227395302,0.23368468060810385
1398,-18.32259055039051,-1.19384603294446
611,-16.52716505803234,0.44611850080725696
539,-14.115030911910116,-0.8854787339001606
155,-17.23842780561815,-1.694558916177462
346,25.14722645536915,-3.9181182774492656
373,30.744282471970827,-5.77110264161119
299,-4.2134052993277376,1.7143656283451445
470,-18.25322987640596,2.583788649706034
