,uin,lab_score,con_score,ld_score,total
71,CD:2001-11-21:79,0.9594202898550724,1.0,1.0,0.9864734299516909
72,CD:2001-11-26:80,0.8705882352941177,1.0,0.9555555555555556,0.9420479302832244
73,CD:2001-11-26:81,0.9878048780487805,1.0,1.0,0.9959349593495935
74,CD:2001-11-26:82,0.9877675840978594,1.0,1.0,0.9959225280326197
75,CD:2001-11-26:83,0.9646017699115044,1.0,1.0,0.9882005899705014
76,CD:2001-11-26:84,0.9880952380952381,1.0,1.0,0.996031746031746
77,CD:2001-11-26:85,0.9345238095238095,1.0,1.0,0.9781746031746031
78,CD:2001-11-26:86,0.9041916167664671,1.0,1.0,0.9680638722554891
79,CD:2001-11-27:87,1.0,1.0,1.0,1.0
80,CD:2001-11-27:88,1.0,1.0,1.0,1.0
81,CD:2001-11-27:89,1.0,1.0,1.0,1.0
82,CD:2001-11-28:90,0.993103448275862,1.0,0.9459459459459459,0.9796831314072693
83,CD:2001-11-28:91,0.9930313588850174,1.0,0.9459459459459459,0.9796591016103212
84,CD:2001-11-28:92,0.9930795847750865,1.0,1.0,0.9976931949250288
85,CD:2001-11-29:93,0.9764705882352941,1.0,1.0,0.9921568627450981
86,CD:2001-11-29:94,0.9834710743801653,0.3114754098360656,0.47368421052631576,0.5895435649141822
87,CD:2001-12-03:95,0.9927797833935018,1.0,1.0,0.9975932611311672
88,CD:2001-12-03:96,0.9923371647509579,1.0,1.0,0.9974457215836526
89,CD:2001-12-03:97,0.9931740614334471,1.0,0.9487179487179487,0.9806306700504651
90,CD:2001-12-03:98,0.9930795847750865,1.0,1.0,0.9976931949250288
91,CD:2001-12-04:100,0.9936708860759493,1.0,0.9574468085106383,0.9837058981955292
92,CD:2001-12-04:101,0.993421052631579,1.0,1.0,0.9978070175438596
93,CD:2001-12-04:102,0.9933110367892977,1.0,1.0,0.9977703455964325
94,CD:2001-12-04:99,0.9937106918238994,1.0,0.9565217391304348,0.9834108103181114
95,CD:2001-12-05:103,0.9928825622775801,1.0,1.0,0.9976275207591933
96,CD:2001-12-10:104,0.9935691318327974,1.0,0.8947368421052632,0.9627686579793536
97,CD:2001-12-12:105,0.975,1.0,1.0,0.9916666666666667
98,CD:2001-12-12:106,0.9753846153846154,1.0,1.0,0.9917948717948718
99,CD:2001-12-12:107,0.9263803680981595,1.0,1.0,0.9754601226993865
100,CD:2001-12-12:108,0.8697068403908795,1.0,1.0,0.9565689467969598
