,uin,lab_score,con_score,ld_score,total,date,title
54,CD:2001-11-14:62,1.0,1.0,1.0,1.0,2001-11-14,Football (Disorder) (Amendment) Bill
55,CD:2001-11-14:63,1.0,0.0,1.0,0.6666666666666666,2001-11-14,Football (Disorder) (Amendment) Bill
56,CD:2001-11-15:64,0.4444444444444444,1.0,0.8,0.7481481481481481,2001-11-15,City of London (Ward Elections) Bill
57,CD:2001-11-19:65,0.9873417721518988,0.9851851851851852,1.0,0.9908423191123613,2001-11-19,"Anti-terrorism, Crime and Security Bill"
58,CD:2001-11-19:66,0.9440993788819876,0.7777777777777778,1.0,0.9072923855532551,2001-11-19,"Anti-terrorism, Crime and Security Bill"
59,CD:2001-11-20:67,0.9935275080906149,1.0,0.9565217391304348,0.9833497490736832,2001-11-20,National Health Service Reform and Health Care Professions Bill
60,CD:2001-11-20:68,0.9935064935064936,1.0,0.9574468085106383,0.9836511006723773,2001-11-20,National Health Service Reform and Health Care Professions Bill
61,CD:2001-11-20:69,0.9933993399339934,1.0,1.0,0.9977997799779978,2001-11-20,National Health Service Reform and Health Care Professions Bill
62,CD:2001-11-21:70,0.9101796407185628,0.2,1.0,0.7033932135728543,2001-11-21,Deferred Divisions
63,CD:2001-11-21:71,0.9072463768115943,1.0,1.0,0.9690821256038648,2001-11-21,"Anti-terrorism, Crime and Security Bill (Programme) (No. 2)"
64,CD:2001-11-21:72,0.9492957746478873,1.0,1.0,0.9830985915492958,2001-11-21,"Anti-terrorism, Crime and Security Bill"
65,CD:2001-11-21:73,1.0,1.0,1.0,1.0,2001-11-21,"Anti-terrorism, Crime and Security Bill"
66,CD:2001-11-21:74,0.9943977591036415,1.0,1.0,0.9981325863678805,2001-11-21,"Anti-terrorism, Crime and Security Bill"
67,CD:2001-11-21:75,0.9369627507163324,1.0,1.0,0.9789875835721108,2001-11-21,"Anti-terrorism, Crime and Security Bill"
68,CD:2001-11-21:76,0.9421965317919075,1.0,1.0,0.9807321772639691,2001-11-21,"Anti-terrorism, Crime and Security Bill"
69,CD:2001-11-21:77,0.8213256484149856,1.0,1.0,0.9404418828049952,2001-11-21,"Anti-terrorism, Crime and Security Bill"
70,CD:2001-11-21:78,0.9369627507163324,1.0,1.0,0.9789875835721108,2001-11-21,"Anti-terrorism, Crime and Security Bill"
71,CD:2001-11-21:79,0.9594202898550724,1.0,1.0,0.9864734299516909,2001-11-21,"Anti-terrorism, Crime and Security Bill"
72,CD:2001-11-26:80,0.8705882352941177,1.0,0.9555555555555556,0.9420479302832244,2001-11-26,"Anti-terrorism, Crime and Security Bill"
73,CD:2001-11-26:81,0.9878048780487805,1.0,1.0,0.9959349593495935,2001-11-26,"Anti-terrorism, Crime and Security Bill"
74,CD:2001-11-26:82,0.9877675840978594,1.0,1.0,0.9959225280326197,2001-11-26,"Anti-terrorism, Crime and Security Bill"
75,CD:2001-11-26:83,0.9646017699115044,1.0,1.0,0.9882005899705014,2001-11-26,"Anti-terrorism, Crime and Security Bill"
76,CD:2001-11-26:84,0.9880952380952381,1.0,1.0,0.996031746031746,2001-11-26,"Anti-terrorism, Crime and Security Bill"
77,CD:2001-11-26:85,0.9345238095238095,1.0,1.0,0.9781746031746031,2001-11-26,"Anti-terrorism, Crime and Security Bill"
78,CD:2001-11-26:86,0.9041916167664671,1.0,1.0,0.9680638722554891,2001-11-26,"Anti-terrorism, Crime and Security Bill"
79,CD:2001-11-27:87,1.0,1.0,1.0,1.0,2001-11-27,Employment Bill
80,CD:2001-11-27:88,1.0,1.0,1.0,1.0,2001-11-27,Employment Bill
81,CD:2001-11-27:89,1.0,1.0,1.0,1.0,2001-11-27,Employment Bill
82,CD:2001-11-28:90,0.993103448275862,1.0,0.9459459459459459,0.9796831314072693,2001-11-28,Civil Defence (Grant) Bill
83,CD:2001-11-28:91,0.9930313588850174,1.0,0.9459459459459459,0.9796591016103212,2001-11-28,Civil Defence (Grant) Bill
84,CD:2001-11-28:92,0.9930795847750865,1.0,1.0,0.9976931949250288,2001-11-28,Civil Defence (Grant) Bill
85,CD:2001-11-29:93,0.9764705882352941,1.0,1.0,0.9921568627450981,2001-11-29,Allocation of Time
86,CD:2001-11-29:94,0.9834710743801653,0.3114754098360656,0.47368421052631576,0.5895435649141822,2001-11-29,Human Reproductive Cloning Bill[Lords]
87,CD:2001-12-03:95,0.9927797833935018,1.0,1.0,0.9975932611311672,2001-12-03,Dissemination of Information
88,CD:2001-12-03:96,0.9923371647509579,1.0,1.0,0.9974457215836526,2001-12-03,Dissemination of Information
89,CD:2001-12-03:97,0.9931740614334471,1.0,0.9487179487179487,0.9806306700504651,2001-12-03,Public Services
90,CD:2001-12-03:98,0.9930795847750865,1.0,1.0,0.9976931949250288,2001-12-03,Public Services
91,CD:2001-12-04:100,0.9936708860759493,1.0,0.9574468085106383,0.9837058981955292,2001-12-04,Education Bill
92,CD:2001-12-04:101,0.993421052631579,1.0,1.0,0.9978070175438596,2001-12-04,Education Bill
93,CD:2001-12-04:102,0.9933110367892977,1.0,1.0,0.9977703455964325,2001-12-04,Education Bill
94,CD:2001-12-04:99,0.9937106918238994,1.0,0.9565217391304348,0.9834108103181114,2001-12-04,Education Bill
95,CD:2001-12-05:103,0.9928825622775801,1.0,1.0,0.9976275207591933,2001-12-05,Business of the House
96,CD:2001-12-10:104,0.9935691318327974,1.0,0.8947368421052632,0.9627686579793536,2001-12-10,Tax Credits Bill
97,CD:2001-12-12:105,0.975,1.0,1.0,0.9916666666666667,2001-12-12,Deferred Divisions
98,CD:2001-12-12:106,0.9753846153846154,1.0,1.0,0.9917948717948718,2001-12-12,"Anti-terrorism, Crime and Security Bill (Programme No. 3)"
99,CD:2001-12-12:107,0.9263803680981595,1.0,1.0,0.9754601226993865,2001-12-12,"Anti-terrorism, Crime and Security Bill"
100,CD:2001-12-12:108,0.8697068403908795,1.0,1.0,0.9565689467969598,2001-12-12,"Anti-terrorism, Crime and Security Bill"
101,CD:2001-12-12:109,0.8368580060422961,1.0,1.0,0.9456193353474319,2001-12-12,"Anti-terrorism, Crime and Security Bill"
102,CD:2001-12-12:110,0.9692307692307692,1.0,1.0,0.9897435897435898,2001-12-12,"Anti-terrorism, Crime and Security Bill"
103,CD:2001-12-13:111,0.9936507936507937,1.0,1.0,0.9978835978835979,2001-12-13,Animal Health Bill
104,CD:2001-12-13:112,0.9938080495356038,1.0,1.0,0.9979360165118679,2001-12-13,Animal Health Bill
105,CD:2001-12-13:113,0.9939024390243902,1.0,1.0,0.9979674796747968,2001-12-13,Animal Health Bill
106,CD:2001-12-13:114,0.9693251533742331,0.0,1.0,0.656441717791411,2001-12-13,"Anti-terrorism, Crime and Security Bill"
107,CD:2001-12-17:115,1.0,1.0,1.0,1.0,2001-12-17,Northern Ireland Arms Decommissioning (Amendment) Bill
108,CD:2001-12-17:116,1.0,1.0,1.0,1.0,2001-12-17,Northern Ireland Arms Decommissioning (Amendment) Bill
109,CD:2001-12-18:117,1.0,1.0,0.8181818181818182,0.9393939393939394,2001-12-18,Facilities of the House
110,CD:2001-12-18:118,0.9749216300940439,1.0,0.875,0.9499738766980146,2001-12-18,Facilities of the House
111,CD:2001-12-18:119,0.9936305732484076,1.0,0.7575757575757576,0.9170687769413884,2001-12-18,Facilities of the House
112,CD:2001-12-18:120,0.967948717948718,1.0,0.8666666666666667,0.944871794871795,2001-12-18,Facilities of the House
113,CD:2001-12-18:121,0.9281045751633987,1.0,0.09090909090909091,0.6730045553574966,2001-12-18,Facilities of the House
114,CD:2001-12-19:122,1.0,1.0,0.9444444444444444,0.9814814814814815,2001-12-19,"Treason Felony, Act of Settlement and Parliamentary Oath"
115,CD:2002-01-08:123,1.0,1.0,1.0,1.0,2002-01-08,Commonhold and Leasehold Reform Bill [Lords]Order for Second Reading read.
116,CD:2002-01-09:124,1.0,1.0,1.0,1.0,2002-01-09,Northern Ireland Arms Decommissioning (Amendment) Bill
117,CD:2002-01-09:125,1.0,1.0,1.0,1.0,2002-01-09,Northern Ireland Arms Decommissioning (Amendment) Bill
118,CD:2002-01-09:126,1.0,0.0,1.0,0.6666666666666666,2002-01-09,Northern Ireland Arms Decommissioning (Amendment) Bill
119,CD:2002-01-11:127,0.8518518518518519,1.0,1.0,0.9506172839506174,2002-01-11,Pension Annuities (Amendment) Bill
120,CD:2002-01-11:128,0.8620689655172413,1.0,1.0,0.9540229885057471,2002-01-11,Pension Annuities (Amendment) Bill
121,CD:2002-01-14:129,1.0,1.0,1.0,1.0,2002-01-14,Office of Communications Bill [Lords] (Programme)
122,CD:2002-01-15:130,0.99375,1.0,1.0,0.9979166666666667,2002-01-15,National Health Service Reform and Health Care Professions Bill
123,CD:2002-01-15:131,0.8476190476190476,1.0,1.0,0.9492063492063493,2002-01-15,National Health Service Reform and Health Care Professions Bill
124,CD:2002-01-15:132,1.0,0.0,1.0,0.6666666666666666,2002-01-15,National Health Service Reform and Health Care Professions Bill
125,CD:2002-01-15:133,0.9876160990712074,1.0,1.0,0.9958720330237357,2002-01-15,National Health Service Reform and Health Care Professions Bill
126,CD:2002-01-16:134,0.9940828402366864,1.0,1.0,0.9980276134122287,2002-01-16,Railways
127,CD:2002-01-16:135,1.0,0.0,1.0,0.6666666666666666,2002-01-16,Care System
128,CD:2002-01-16:136,1.0,1.0,1.0,1.0,2002-01-16,Care System
129,CD:2002-01-21:137,1.0,1.0,1.0,1.0,2002-01-21,Justice (Northern Ireland) Bill
130,CD:2002-01-21:138,1.0,1.0,1.0,1.0,2002-01-21,Justice (Northern Ireland) Bill
131,CD:2002-01-22:139,1.0,1.0,1.0,1.0,2002-01-22,Public Services
132,CD:2002-01-22:140,1.0,1.0,1.0,1.0,2002-01-22,Public Services
133,CD:2002-01-23:141,0.0851063829787234,0.25,0.8333333333333334,0.3894799054373523,2002-01-23,Identity Card
134,CD:2002-01-28:142,0.9921568627450981,1.0,1.0,0.9973856209150327,2002-01-28,Civil Defence (Grant) Bill
