member_id,constituency,date_of_birth,days_service,first_start_date,gender,list_name,party
172,Hackney North and Stoke Newington,1953-09-27,6433,1987-06-11,F,"Abbott, Ms Diane",Labour
645,Belfast West,1948-10-06,6047,1983-06-09,M,"Adams, Mr Gerry",Sinn Féin
631,Paisley North,1947-12-27,5166,1990-11-29,F,"Adams of Craigielea, B.",Labour
537,Carmarthen West and South Pembrokeshire,1949-10-24,4693,1992-04-09,M,"Ainger, Nick",Labour
306,Coventry North East,1952-06-19,4693,1992-04-09,M,"Ainsworth, Mr Bob",Labour
99,East Surrey,1956-11-16,4693,1992-04-09,M,"Ainsworth, Mr Peter",Conservative
632,Paisley South,1967-10-26,2679,1997-11-06,M,"Alexander, Mr Douglas",Labour
397,"Sheffield, Hallam",1966-02-11,2868,1997-05-01,M,"Allan of Hallam, L.",Liberal Democrat
364,Nottingham North,1953-01-11,6433,1987-06-11,M,"Allen, Mr Graham",Labour
44,Southend West,1952-03-26,7872,1983-06-09,M,"Amess, Sir David",Conservative
475,Rossendale and Darwen,1949-12-06,4693,1992-04-09,F,"Anderson, Janet",Labour
568,Swansea East,1939-06-17,12503,1966-03-31,M,"Anderson of Swansea, L.",Labour
56,North East Hampshire,1952-08-04,6433,1987-06-11,M,"Arbuthnot of Edrom, L.",Conservative
4150,North West Durham,1945-11-30,6433,1987-06-11,F,"Armstrong of Hill Top, B.",Labour
224,Falmouth and Camborne,1955-09-21,2868,1997-05-01,F,"Atherton, Ms Candy",Labour
284,Staffordshire Moorlands,1950-09-24,2868,1997-05-01,F,"Atkins, Charlotte",Labour
240,Bournemouth East,1940-03-24,9842,1977-11-24,M,"Atkinson, Mr David",Conservative
515,Hexham,1943-01-19,4693,1992-04-09,M,"Atkinson, Mr Peter",Conservative
168,Erith and Thamesmead,1944-08-21,4693,1992-04-09,M,"Austin, John",Labour
1451,South Norfolk,1962-12-03,1394,2001-06-07,M,"Bacon, Mr Richard",Conservative
320,West Bromwich West,1945-12-11,1566,2000-11-23,M,"Bailey, Mr Adrian",Labour
1445,Redcar,1950-02-13,1394,2001-06-07,F,"Baird, Vera",Labour
28,Lewes,1957-07-26,2868,1997-05-01,M,"Baker, Norman",Liberal Democrat
93,Banbury,1950-07-10,7872,1983-06-09,M,"Baldry, Sir Tony",Conservative
4149,North Antrim,1926-04-06,12481,1970-06-18,M,"Bannside, L.",Democratic Unionist Party
1389,Bexhill and Battle,1966-03-08,1394,2001-06-07,M,"Barker of Battle, L.",Conservative
331,North East Derbyshire,1936-07-22,6433,1987-06-11,M,"Barnes, Mr Harry",Labour
