240,date,division number,title,uin,uri
no,2005-04-06,155.0,Railways Bill,CD:2005-04-06:155,http://data.parliament.uk/resources/103334
no,2005-03-18,148.0,Smoking in Public Places (Wales) Bill,CD:2005-03-18:148,http://data.parliament.uk/resources/103327
no,2005-03-10,131.0,Prevention of Terrorism Bill,CD:2005-03-10:131,http://data.parliament.uk/resources/103310
no,2005-03-10,132.0,Prevention of Terrorism Bill,CD:2005-03-10:132,http://data.parliament.uk/resources/103311
no,2005-03-10,133.0,Prevention of Terrorism Bill,CD:2005-03-10:133,http://data.parliament.uk/resources/103312
no,2005-03-10,134.0,Prevention of Terrorism Bill,CD:2005-03-10:134,http://data.parliament.uk/resources/103313
no,2005-03-10,135.0,Prevention of Terrorism Bill,CD:2005-03-10:135,http://data.parliament.uk/resources/103314
no,2005-03-10,136.0,Prevention of Terrorism Bill,CD:2005-03-10:136,http://data.parliament.uk/resources/103315
no,2005-03-10,137.0,Prevention of Terrorism Bill,CD:2005-03-10:137,http://data.parliament.uk/resources/103316
no,2005-03-10,138.0,Prevention of Terrorism Bill,CD:2005-03-10:138,http://data.parliament.uk/resources/103317
no,2005-03-10,139.0,Prevention of Terrorism Bill,CD:2005-03-10:139,http://data.parliament.uk/resources/103318
no,2005-03-10,140.0,Prevention of Terrorism Bill,CD:2005-03-10:140,http://data.parliament.uk/resources/103319
no,2005-03-10,141.0,Prevention of Terrorism Bill,CD:2005-03-10:141,http://data.parliament.uk/resources/103320
no,2005-03-10,142.0,Prevention of Terrorism Bill,CD:2005-03-10:142,http://data.parliament.uk/resources/103321
no,2005-03-09,121.0,Future of the BBC,CD:2005-03-09:121,http://data.parliament.uk/resources/103300
no,2005-03-09,122.0,Prevention of Terrorism Bill,CD:2005-03-09:122,http://data.parliament.uk/resources/103301
no,2005-03-09,123.0,Prevention of Terrorism Bill,CD:2005-03-09:123,http://data.parliament.uk/resources/103302
no,2005-03-09,124.0,Prevention of Terrorism Bill,CD:2005-03-09:124,http://data.parliament.uk/resources/103303
no,2005-03-09,125.0,Prevention of Terrorism Bill,CD:2005-03-09:125,http://data.parliament.uk/resources/103304
no,2005-03-09,126.0,Prevention of Terrorism Bill,CD:2005-03-09:126,http://data.parliament.uk/resources/103305
no,2005-03-09,127.0,Prevention of Terrorism Bill,CD:2005-03-09:127,http://data.parliament.uk/resources/103306
no,2005-03-09,128.0,Prevention of Terrorism Bill,CD:2005-03-09:128,http://data.parliament.uk/resources/103307
no,2005-03-08,118.0,Road Safety Bill,CD:2005-03-08:118,http://data.parliament.uk/resources/103297
no,2005-03-07,114.0,Future European Union Finances,CD:2005-03-07:114,http://data.parliament.uk/resources/103293
no,2005-03-02,112.0,Hospital-acquired Infections,CD:2005-03-02:112,http://data.parliament.uk/resources/103291
no,2005-03-01,105.0,Constitutional Reform Bill [Lords],CD:2005-03-01:105,http://data.parliament.uk/resources/103284
no,2005-03-01,108.0,Constitutional Reform Bill [Lords],CD:2005-03-01:108,http://data.parliament.uk/resources/103287
no,2005-03-01,109.0,Constitutional Reform Bill [Lords],CD:2005-03-01:109,http://data.parliament.uk/resources/103288
no,2005-02-28,100.0,Prevention of Terrorism Bill (Programme) (No. 2),CD:2005-02-28:100,http://data.parliament.uk/resources/103279
no,2005-02-28,103.0,Prevention of Terrorism Bill,CD:2005-02-28:103,http://data.parliament.uk/resources/103282
no,2005-02-28,104.0,Prevention of Terrorism Bill,CD:2005-02-28:104,http://data.parliament.uk/resources/103283
no,2005-02-23,94.0,Prevention of Terrorism Bill,CD:2005-02-23:94,http://data.parliament.uk/resources/103273
no,2005-02-23,95.0,Prevention of Terrorism Bill,CD:2005-02-23:95,http://data.parliament.uk/resources/103274
