568,date,division number_x,title,uin,uri_x,56,division number_y,uri_y
no,2005-04-05,151.0,Mental Capacity Bill,CD:2005-04-05:151,http://data.parliament.uk/resources/103330,,,
no,2005-03-10,129.0,Support For Members Who Have Chosen Not To Take Their Seats,CD:2005-03-10:129,http://data.parliament.uk/resources/103308,,,
no,2005-03-10,130.0,Support For Members Who Have Chosen Not To Take Their Seats,CD:2005-03-10:130,http://data.parliament.uk/resources/103309,aye,,http://data.parliament.uk/resources/103309
no,2005-03-08,115.0,Road Safety Bill,CD:2005-03-08:115,http://data.parliament.uk/resources/103294,,,
no,2005-03-08,116.0,Road Safety Bill,CD:2005-03-08:116,http://data.parliament.uk/resources/103295,,,
no,2005-03-08,117.0,Road Safety Bill,CD:2005-03-08:117,http://data.parliament.uk/resources/103296,,,
no,2005-03-08,118.0,Road Safety Bill,CD:2005-03-08:118,http://data.parliament.uk/resources/103297,,,
no,2005-03-08,119.0,Road Safety Bill,CD:2005-03-08:119,http://data.parliament.uk/resources/103298,,,
no,2005-03-07,114.0,Future European Union Finances,CD:2005-03-07:114,http://data.parliament.uk/resources/103293,no,114.0,http://data.parliament.uk/resources/103293
no,2005-02-23,93.0,Prevention of Terrorism Bill,CD:2005-02-23:93,http://data.parliament.uk/resources/103272,aye,,http://data.parliament.uk/resources/103272
no,2005-02-21,87.0,Clean Neighbourhoods and Environment Bill,CD:2005-02-21:87,http://data.parliament.uk/resources/103266,aye,,http://data.parliament.uk/resources/103266
no,2005-02-21,88.0,Clean Neighbourhoods and Environment Bill,CD:2005-02-21:88,http://data.parliament.uk/resources/103267,,,
no,2005-02-21,89.0,Clean Neighbourhoods and Environment Bill,CD:2005-02-21:89,http://data.parliament.uk/resources/103268,,,
no,2005-02-21,90.0,Clean Neighbourhoods and Environment Bill,CD:2005-02-21:90,http://data.parliament.uk/resources/103269,,,
no,2005-02-03,66.0,Child Benefit Bill,CD:2005-02-03:66,http://data.parliament.uk/resources/103245,aye,,http://data.parliament.uk/resources/103245
no,2005-02-01,59.0,Constitutional Reform Bill [Lords],CD:2005-02-01:59,http://data.parliament.uk/resources/103238,aye,,http://data.parliament.uk/resources/103238
no,2005-02-01,60.0,Constitutional Reform Bill [Lords],CD:2005-02-01:60,http://data.parliament.uk/resources/103239,,,
no,2005-02-01,61.0,Constitutional Reform Bill [Lords],CD:2005-02-01:61,http://data.parliament.uk/resources/103240,,,
no,2005-02-01,63.0,Constitutional Reform Bill [Lords],CD:2005-02-01:63,http://data.parliament.uk/resources/103242,,,
no,2005-01-31,56.0,Constitutional Reform Bill [Lords],CD:2005-01-31:56,http://data.parliament.uk/resources/103235,aye,,http://data.parliament.uk/resources/103235
no,2005-01-31,58.0,Constitutional Reform Bill [Lords],CD:2005-01-31:58,http://data.parliament.uk/resources/103237,aye,,http://data.parliament.uk/resources/103237
no,2005-01-27,52.0,Railways Bill,CD:2005-01-27:52,http://data.parliament.uk/resources/103231,,,
no,2005-01-27,53.0,Railways Bill,CD:2005-01-27:53,http://data.parliament.uk/resources/103232,,,
no,2005-01-26,51.0,Commissioners for Revenue and Customs Bill,CD:2005-01-26:51,http://data.parliament.uk/resources/103230,,,
no,2005-01-25,44.0,Licensing Act 2003,CD:2005-01-25:44,http://data.parliament.uk/resources/103222,aye,,http://data.parliament.uk/resources/103222
no,2005-01-25,45.0,Food Supplements Directive,CD:2005-01-25:45,http://data.parliament.uk/resources/103223,aye,,http://data.parliament.uk/resources/103223
no,2005-01-19,35.0,Value for TaxpayersŸ Money,CD:2005-01-19:35,http://data.parliament.uk/resources/103213,aye,,http://data.parliament.uk/resources/103213
no,2005-01-19,36.0,Farming and Rural Communities,CD:2005-01-19:36,http://data.parliament.uk/resources/103214,aye,,http://data.parliament.uk/resources/103214
no,2005-01-10,27.0,Clean Neighbourhoods and Environment Bill,CD:2005-01-10:27,http://data.parliament.uk/resources/103205,aye,,http://data.parliament.uk/resources/103205
no,2004-12-20,23.0,Identity Cards Bill,CD:2004-12-20:23,http://data.parliament.uk/resources/103201,,,
no,2004-12-14,11.0,Mental Capacity Bill,CD:2004-12-14:11,http://data.parliament.uk/resources/103189,aye,,http://data.parliament.uk/resources/103189
no,2004-12-14,12.0,Mental Capacity Bill,CD:2004-12-14:12,http://data.parliament.uk/resources/103190,aye,,http://data.parliament.uk/resources/103190
no,2004-12-14,13.0,Mental Capacity Bill,CD:2004-12-14:13,http://data.parliament.uk/resources/103191,,,
no,2004-12-14,14.0,Mental Capacity Bill,CD:2004-12-14:14,http://data.parliament.uk/resources/103192,aye,,http://data.parliament.uk/resources/103192
no,2004-12-14,15.0,Mental Capacity Bill,CD:2004-12-14:15,http://data.parliament.uk/resources/103193,,,
no,2004-12-14,16.0,Mental Capacity Bill,CD:2004-12-14:16,http://data.parliament.uk/resources/103194,aye,,http://data.parliament.uk/resources/103194
no,2004-12-13,9.0,School Discipline,CD:2004-12-13:9,http://data.parliament.uk/resources/103187,aye,,http://data.parliament.uk/resources/103187
no,2004-12-13,10.0,Family Justice,CD:2004-12-13:10,http://data.parliament.uk/resources/103188,aye,,http://data.parliament.uk/resources/103188
no,2004-12-06,5.0,Railways Bill,CD:2004-12-06:5,http://data.parliament.uk/resources/103183,aye,,http://data.parliament.uk/resources/103183
no,2004-12-01,2.0,Economic Affairs,CD:2004-12-01:2,http://data.parliament.uk/resources/103180,aye,,http://data.parliament.uk/resources/103180
no,2004-12-01,3.0,Economic Affairs,CD:2004-12-01:3,http://data.parliament.uk/resources/103181,no,3.0,http://data.parliament.uk/resources/103181
no,2004-11-30,1.0,Health and Education,CD:2004-11-30:1,http://data.parliament.uk/resources/103179,,,
no,2004-11-17,333.0,Civil Contingencies Bill,CD:2004-11-17:333,http://data.parliament.uk/resources/103171,aye,,http://data.parliament.uk/resources/103171
no,2004-11-16,322.0,Pensions Bill,CD:2004-11-16:322,http://data.parliament.uk/resources/103160,aye,,http://data.parliament.uk/resources/103160
no,2004-11-16,329.0,Hunting Bill,CD:2004-11-16:329,http://data.parliament.uk/resources/103167,aye,,http://data.parliament.uk/resources/103167
no,2004-11-02,301.0,Children Bill [Lords],CD:2004-11-02:301,http://data.parliament.uk/resources/103139,,,
no,2004-11-02,302.0,Children Bill [Lords],CD:2004-11-02:302,http://data.parliament.uk/resources/103140,,,
no,2004-11-02,303.0,Children Bill [Lords],CD:2004-11-02:303,http://data.parliament.uk/resources/103141,,,
no,2004-11-02,304.0,Children Bill [Lords],CD:2004-11-02:304,http://data.parliament.uk/resources/103142,,,
no,2004-11-02,305.0,Children Bill [Lords],CD:2004-11-02:305,http://data.parliament.uk/resources/103143,no,305.0,http://data.parliament.uk/resources/103143
no,2004-11-02,306.0,Children Bill [Lords],CD:2004-11-02:306,http://data.parliament.uk/resources/103144,aye,,http://data.parliament.uk/resources/103144
no,2004-10-27,287.0,"Domestic Violence, Crime and Victims Bill [Lords]",CD:2004-10-27:287,http://data.parliament.uk/resources/103125,,,
no,2004-10-27,288.0,"Domestic Violence, Crime and Victims Bill [Lords]",CD:2004-10-27:288,http://data.parliament.uk/resources/103126,aye,,http://data.parliament.uk/resources/103126
no,2004-10-27,289.0,"Domestic Violence, Crime and Victims Bill [Lords]",CD:2004-10-27:289,http://data.parliament.uk/resources/103127,aye,,http://data.parliament.uk/resources/103127
no,2004-10-27,290.0,"Domestic Violence, Crime and Victims Bill [Lords]",CD:2004-10-27:290,http://data.parliament.uk/resources/103128,aye,,http://data.parliament.uk/resources/103128
no,2004-10-27,292.0,"Domestic Violence, Crime and Victims Bill [Lords]",CD:2004-10-27:292,http://data.parliament.uk/resources/103130,no,292.0,http://data.parliament.uk/resources/103130
no,2004-10-26,278.0,Programming of Bills,CD:2004-10-26:278,http://data.parliament.uk/resources/103116,aye,,http://data.parliament.uk/resources/103116
no,2004-10-26,279.0,Programming of Bills,CD:2004-10-26:279,http://data.parliament.uk/resources/103117,aye,,http://data.parliament.uk/resources/103117
