284,date,division number,title,uin,uri
no,2010-03-23,117.0,"Cluster Munitions (Prohibitions) Bill [Lords], Question put, That the amendment 4 be made), sitting committee",CD:2010-03-23:117,http://data.parliament.uk/resources/104609
no,2010-03-16,110.0,"Illegally Logged Timber (Prohibition of Retail, Wholesale and Distribution), Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question",CD:2010-03-16:110,http://data.parliament.uk/resources/104602
no,2010-03-16,111.0,"Higher Education, Question put accordingly (Standing Order No. 31(2), That the original words stand part of the Question",CD:2010-03-16:111,http://data.parliament.uk/resources/104603
no,2010-03-09,104.0,"Hydrofluorocarbons Limitation, Question put ac cordingly (Standing Order No. 31 (2)), That the original words stand part of the Question",CD:2010-03-09:104,http://data.parliament.uk/resources/104596
no,2010-03-09,105.0,"Local Government (Devon, Norfolk and Suffolk), Question put ac cordingly (Standing Order No. 31 (2)), That the original words stand part of the Question",CD:2010-03-09:105,http://data.parliament.uk/resources/104597
no,2010-03-08,101.0,"Crime and Security Bill, Question put, That new clause 1 be read a Second time",CD:2010-03-08:101,http://data.parliament.uk/resources/104593
no,2010-03-08,102.0,"Crime and Security Bill, Question put, That clause new clause 3 be read a Second time",CD:2010-03-08:102,http://data.parliament.uk/resources/104594
no,2010-03-04,99.0,"Select Committee on Reform, Backbench Business Committee, Question put, That the amendment be made",CD:2010-03-04:99,http://data.parliament.uk/resources/104591
no,2010-03-02,93.0,"Constitutional Reform and Governance Bill, Question put that amendment 10 be made",CD:2010-03-02:93,http://data.parliament.uk/resources/104585
no,2010-03-02,94.0,"Constitutional Reform and Governance Bill, Question put that amendment 3 be made",CD:2010-03-02:94,http://data.parliament.uk/resources/104586
no,2010-03-01,89.0,"Defence, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2010-03-01:89,http://data.parliament.uk/resources/104581
no,2010-02-23,82.0,"Children, Schools and Families Bill Question put, That the clause 1 be read a Second time",CD:2010-02-23:82,http://data.parliament.uk/resources/104574
no,2010-02-23,83.0,"Children, Schools and Families Bill Question put, That the clause 1 be added to the Bill",CD:2010-02-23:83,http://data.parliament.uk/resources/104575
no,2010-02-10,80.0,"Section 5 of the European Communities (Amendment) Act 1993, 1 & 1/2 hours having elapsed since commencement of proceedings on the motion, Deputy Speaker put the Question (SO No. 16(1)), That the amendment be made",CD:2010-02-10:80,http://data.parliament.uk/resources/104572
no,2010-02-09,78.0,"Constitutional Reform and Governance Bill, (Prog Order, 1 Feb 2010), Questions necessary for disposal of business to be concluded (SO No. 83D) That amend New Clause 88(b) be made, sitting in committee",CD:2010-02-09:78,http://data.parliament.uk/resources/104570
no,2010-02-08,73.0,"Terrorist Asset-Freezing (Temporary Provisions) Bill Question put, That the amendment 1 be made",CD:2010-02-08:73,http://data.parliament.uk/resources/104565
