4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2009-10-21,229.0,"Climate Change (Political Response), Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-10-21:229,http://data.parliament.uk/resources/104472,,,
no,2009-10-14,218.0,"Higher Education, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-10-14:218,http://data.parliament.uk/resources/104461,,,
no,2009-10-14,219.0,"NHS Dentistry, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-10-14:219,http://data.parliament.uk/resources/104462,,,
no,2009-10-12,210.0,"Health Bill (Lords), Question put, That the clause be read a Second time",CD:2009-10-12:210,http://data.parliament.uk/resources/104452,,,
no,2009-10-12,211.0,"Health Bill (Lords), Question put, That the amendment be made",CD:2009-10-12:211,http://data.parliament.uk/resources/104454,,,
no,2009-10-12,212.0,"Health Bill (Lords), The Deputy Speaker then put forthwith the Questions necessary for the disposal of the business to be concluded at that time (Standing Order No. 83E",CD:2009-10-12:212,http://data.parliament.uk/resources/104455,,,
no,2009-07-21,208.0,"Parliamentary Standards Bill, The Deputy Speaker put forthwith the Question already proposed from the Chair (Standing Order No. 83 F ) , That amendment (a) to Lords amendment 1 be made",CD:2009-07-21:208,http://data.parliament.uk/resources/104450,,,
no,2009-07-15,202.0,"US-UK Extradition Treaty, Question put (Standing Order No. 31(2), That the original words stand part of the Question",CD:2009-07-15:202,http://data.parliament.uk/resources/104444,,,
no,2009-07-15,203.0,"Caring for the Elderly, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-07-15:203,http://data.parliament.uk/resources/104445,,,
no,2009-07-08,195.0,"Finance Bill, Question put, That the amendment 4 be made",CD:2009-07-08:195,http://data.parliament.uk/resources/104437,,,
no,2009-07-07,184.0,"Finance Bill, Question put, That the new clause 1 be read a Second time",CD:2009-07-07:184,http://data.parliament.uk/resources/104426,,,
no,2009-07-07,185.0,"Finance Bill, Question put, That the new clause 3 be read a Second time",CD:2009-07-07:185,http://data.parliament.uk/resources/104427,,,
no,2009-07-07,186.0,"Finance Bill, Question put, That the amendment 37 be made",CD:2009-07-07:186,http://data.parliament.uk/resources/104428,,,
no,2009-07-07,187.0,"Finance Bill, Question put, That the amendment 38 be made",CD:2009-07-07:187,http://data.parliament.uk/resources/104429,,,
no,2009-07-06,181.0,"Building our Common Future, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-07-06:181,http://data.parliament.uk/resources/104423,,,
no,2009-07-06,182.0,"Building our Common Future, Question put accordingly (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-07-06:182,http://data.parliament.uk/resources/104424,,,
no,2009-07-01,175.0,"Parliamentary Standards Bill Question put, That the amendment 32, 33 & 36 be made. Sitting in committee",CD:2009-07-01:175,http://data.parliament.uk/resources/104417,,,
no,2009-07-01,176.0,"Parliamentary Standards Bill Question put, That the amendment 100 be made. Sitting in committee",CD:2009-07-01:176,http://data.parliament.uk/resources/104418,,,
no,2009-07-01,177.0,"Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 39 be made. Sitting in committee",CD:2009-07-01:177,http://data.parliament.uk/resources/104419,,,
no,2009-07-01,179.0,"Parliamentary Standards Bill, Question put the amendment 5 be made",CD:2009-07-01:179,http://data.parliament.uk/resources/104421,,,
no,2009-06-30,169.0,"Parliamentary Standards Bill Question put, That the amendment 69 be made. Sitting in committee",CD:2009-06-30:169,http://data.parliament.uk/resources/104411,,,
no,2009-06-30,171.0,"Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 2,7,27,29,75-79&82 be made. Sitting in committee",CD:2009-06-30:171,http://data.parliament.uk/resources/104413,,,
no,2009-06-24,155.0,"Iraq Inquiry, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-06-24:155,http://data.parliament.uk/resources/104397,,,
no,2009-06-15,149.0,"Rural Communities (Recession), Question put (Standing Order No. 31(2)), That the original words stand part of the Question.",CD:2009-06-15:149,http://data.parliament.uk/resources/104391,,,
no,2009-06-10,146.0,"Geneva Conventions and United Nations Personnel (Protocols) Bill (Lords), Main Question accordingly put Considered in Committee",CD:2009-06-10:146,http://data.parliament.uk/resources/104388,,,
