44,date,division number_x,title,uin,uri_x,475,division number_y,uri_y
no,2018-03-13,128.0,"Universal Credit (S.I., 2018, No. 65)",CD:2018-03-13:395,http://data.parliament.uk/resources/860992,,,
no,2018-03-13,129.0,Children and Young Persons: Free School Lunches,CD:2018-03-13:396,http://data.parliament.uk/resources/861000,,,
no,2018-03-13,130.0,Children and Young Persons: Early Years Provision,CD:2018-03-13:397,http://data.parliament.uk/resources/861001,,,
no,2018-03-13,131.0,"Social Security (S.I., 2018, No. 120)",CD:2018-03-13:398,http://data.parliament.uk/resources/861002,,,
no,2018-02-21,118.0,Finance (No. 2) Bill: Report Stage New Clause 9,CD:2018-02-21:385,http://data.parliament.uk/resources/845870,,,
no,2018-02-21,119.0,Finance (No. 2) Bill Report Stage: New Clause 3,CD:2018-02-21:386,http://data.parliament.uk/resources/845878,,,
no,2018-02-21,120.0,Finance (No.2) Bill: Report Stage Amendment 3,CD:2018-02-21:387,http://data.parliament.uk/resources/845879,,,
no,2018-02-21,121.0,Finance (No 2) Bill: Report Stage New Clause 7 ,CD:2018-02-21:388,http://data.parliament.uk/resources/845884,,,
no,2018-02-21,122.0,Finance (No 2) Bill: Report Stage New Clause 10 ,CD:2018-02-21:389,http://data.parliament.uk/resources/845885,,,
no,2018-02-21,123.0,Finance (No 2) Bill: Report Stage Amdt 10,CD:2018-02-21:390,http://data.parliament.uk/resources/845886,,,
no,2018-02-06,114.0,Space Industry Bill: Report Stage New Clause 4,CD:2018-02-06:381,http://data.parliament.uk/resources/837689,,,
no,2018-02-06,115.0,Space Industry Bill: Report Stage Amdt 1,CD:2018-02-06:382,http://data.parliament.uk/resources/837690,,,
no,2018-01-31,111.0,Restoration and Renewal (No. 1) amdt (c),CD:2018-01-31:378,http://data.parliament.uk/resources/834160,,,
no,2018-01-31,113.0,Restoration and Renewal (No. 1) (as amended),CD:2018-01-31:380,http://data.parliament.uk/resources/834163,,,
no,2018-01-31,112.0,Restoration and Renewal (No. 1) amdt (b),CD:2018-01-31:379,http://data.parliament.uk/resources/834374,,,
no,2018-01-23,106.0,Nuclear Safeguards Bill: Report Stage New Clause 1,CD:2018-01-23:373,http://data.parliament.uk/resources/828384,,,
no,2018-01-23,107.0,Nuclear Safeguards Bill: Report Stage Amdt 5,CD:2018-01-23:374,http://data.parliament.uk/resources/828386,,,
no,2018-01-23,108.0,Electoral Commission,CD:2018-01-23:375,http://data.parliament.uk/resources/828389,,,
no,2018-01-09,89.0,Trade Bill: Second Reading: Mr Corbyn's amendment,CD:2018-01-09:356,http://data.parliament.uk/resources/818946,,,
no,2018-01-08,87.0,Taxation (Cross-Border Trade) Bill Second Reading: Jeremy Corbyn's amendment ,CD:2018-01-08:354,http://data.parliament.uk/resources/818647,,,
no,2017-12-19,77.0,Finance (No 2) Bill: Committee of the whole House: New Clause 6,CD:2017-12-19:344,http://data.parliament.uk/resources/809139,,,
no,2017-12-19,78.0,Finance (No 2) Bill Committee of the whole House New Clause 8,CD:2017-12-19:345,http://data.parliament.uk/resources/809145,,,
no,2017-12-18,75.0,Finance (No. 2) Bill: Committee of the whole House New Clause 1,CD:2017-12-18:342,http://data.parliament.uk/resources/808733,,,
no,2017-12-18,76.0,Finance (No. 2) Bill: Committee of the whole House New Clause 4,CD:2017-12-18:343,http://data.parliament.uk/resources/808776,,,
no,2017-12-11,61.0,Finance (No.2) Bill Second Reading: Jeremy Corbyn's amendment,CD:2017-12-11:328,http://data.parliament.uk/resources/804247,,,
no,2017-11-20,43.0,Cross-Border Trade Resolution: Amendment (e),CD:2017-11-20:310,http://data.parliament.uk/resources/792581,,,
no,2017-10-31,27.0,Finance Bill: Report Stage New Clause 1,CD:2017-10-31:294,http://data.parliament.uk/resources/780710,,,
no,2017-10-31,28.0,Finance Bill: Report Stage Amdt 1,CD:2017-10-31:295,http://data.parliament.uk/resources/780713,,,
no,2017-10-31,29.0,Finance Bill: Report Stage Amdt 11,CD:2017-10-31:296,http://data.parliament.uk/resources/780714,,,
no,2017-10-31,30.0,Finance Bill: Report New Clause 2,CD:2017-10-31:297,http://data.parliament.uk/resources/780715,,,
no,2017-10-11,19.0,Finance Bill: Committee of the whole House Amdt 1,CD:2017-10-11:286,http://data.parliament.uk/resources/768283,,,
no,2017-10-11,20.0,Finance Bill: Committee of the whole House Amdt 2,CD:2017-10-11:287,http://data.parliament.uk/resources/768285,,,
no,2017-10-11,21.0,Finance Bill: Committee of the whole House Amdt 4,CD:2017-10-11:288,http://data.parliament.uk/resources/768286,,,
no,2017-10-11,22.0,Finance Bill: Committee of the whole House New Clause 1,CD:2017-10-11:289,http://data.parliament.uk/resources/768287,,,
no,2017-10-11,23.0,Finance Bill: Committee of the whole House New Clause 2,CD:2017-10-11:290,http://data.parliament.uk/resources/768324,,,
no,2017-09-12,17.0,Nomination of Members to Committees: Mr Carmichael's amendment,CD:2017-09-12:284,http://data.parliament.uk/resources/759599,,,
no,2017-07-17,8.0,Business of the House (Private Members' Bills): Amendment (a),CD:2017-07-17:275,http://data.parliament.uk/resources/752310,,,
no,2017-07-17,9.0,Business of the House (Private Members' Bills): Amendment (b),CD:2017-07-17:276,http://data.parliament.uk/resources/752311,,,
no,2017-07-11,5.0,Air Travel Organisers' Licensing Bill: Committee of the whole House Amdt 2,CD:2017-07-11:272,http://data.parliament.uk/resources/750424,,,
no,2017-07-11,6.0,Air Travel Organisers' Bill: Committee of the whole House Amdt 3,CD:2017-07-11:273,http://data.parliament.uk/resources/750425,,,
no,2017-07-11,7.0,Air Travel Organisers' Licensing Bill: Committee of the whole House New Clause 1,CD:2017-07-11:274,http://data.parliament.uk/resources/750435,,,
no,2017-03-29,192.0,Pension Schemes Bill [Lords]: Report Stage New Clause 2,CD:2017-03-29:260,http://data.parliament.uk/resources/714865,,,
no,2017-03-29,191.0,Pension Schemes Bill [Lords]: Report Stage New Clause 1,CD:2017-03-29:259,http://data.parliament.uk/resources/714866,,,
no,2017-03-29,193.0,Pension Schemes Bill [Lords]: Report Stage Amendment 1,CD:2017-03-29:261,http://data.parliament.uk/resources/714868,,,
no,2017-03-27,188.0,Bus Services Bill [Lords]: Report Stage New Clause 1,CD:2017-03-27:255,http://data.parliament.uk/resources/713962,,,
no,2017-03-27,189.0,Bus Services Bill [Lords]: Report Stage New Clause 2,CD:2017-03-27:256,http://data.parliament.uk/resources/713963,,,
no,2017-03-27,190.0,Bus Services Bill [Lords]: Report Stage Amendment 1,CD:2017-03-27:257,http://data.parliament.uk/resources/714005,,,
no,2017-03-13,176.0,Reproductive Health (Access to Terminations),CD:2017-03-13:243,http://data.parliament.uk/resources/710264,,,
no,2017-03-07,173.0,Children and Social Work Bill (Lords): Report Stage New Clause 14,CD:2017-03-07:240,http://data.parliament.uk/resources/708770,,,
no,2017-03-07,174.0,Children and Social Work Bill (Lords): Report Stage Amendment 12,CD:2017-03-07:241,http://data.parliament.uk/resources/708773,,,
no,2017-02-21,163.0,Criminal Finances Bill: Report Stage New Clause 19,CD:2017-02-21:230,http://data.parliament.uk/resources/692257,,,
no,2017-02-21,162.0,Criminal Finances Bill: Report Stage New Clause 17,CD:2017-02-21:229,http://data.parliament.uk/resources/692258,,,
no,2017-02-08,152.0,European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 2,CD:2017-02-08:219,http://data.parliament.uk/resources/686610,,,
no,2017-02-08,153.0,European Union (Notification of Withdrawal) Bill: Committee of the whole House New Clause 7,CD:2017-02-08:220,http://data.parliament.uk/resources/686611,,,
no,2017-02-08,154.0,European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 29,CD:2017-02-08:221,http://data.parliament.uk/resources/686613,,,
no,2017-02-08,155.0,European Union (Notification of Withdrawal) Bill: Committee of the whole House Amdt 11,CD:2017-02-08:222,http://data.parliament.uk/resources/686614,,,
