515,date,division number,title,uin,uri
no,2010-01-13,39.0,"Energy Security, Question, That the proposed words be there added, put forthwith (Standing Order No. 31)",CD:2010-01-13:39,http://data.parliament.uk/resources/104530
no,2010-01-05,27.0,"Fiscal Responsibility Bill, Question put forthwith (Standing Order No. 62(2)), That the Bill be now read a Second time",CD:2010-01-05:27,http://data.parliament.uk/resources/104518
no,2010-01-05,28.0,"Fiscal Responsibility Bill, Fiscal Responsibility Bill (Programme), Motion made, and Question put forthwith, (Standing Order No. 83A (7) )",CD:2010-01-05:28,http://data.parliament.uk/resources/104519
no,2009-12-14,23.0,"Personal Care at Home Bill (Programme), Motion made, and Question put forthwith, (Standing Order No. 8 3 A)",CD:2009-12-14:23,http://data.parliament.uk/resources/104514
no,2009-12-14,24.0,"Regional Select Committee (London), Question put forthwith, That the Question be now put (Standing Order No. 36)",CD:2009-12-14:24,http://data.parliament.uk/resources/104515
no,2009-12-14,25.0,"Regional Select Committee (London), Motion made , and Question put accordingly",CD:2009-12-14:25,http://data.parliament.uk/resources/104516
no,2009-12-09,18.0,"Environmental Protection. That the draft Environmental Permitting (England and Wales) (Amendment) (No. 2) Regulations 2009, which were laid) re this House on 28 October, in the previous Session of Parliament, be approved",CD:2009-12-09:18,http://data.parliament.uk/resources/104509
no,2009-12-08,17.0,"Local govt finance Question put forthwith (Standing Order No. 31(2)), that the proposed words be there added",CD:2009-12-08:17,http://data.parliament.uk/resources/104508
no,2009-12-02,10.0,Equalities Bill that Clause be bought up and Question be put,CD:2009-12-02:10,http://data.parliament.uk/resources/104501
no,2009-12-02,14.0,"Independent Parliamentary Standards Authority Board Question put , That the main Question be not now put",CD:2009-12-02:14,http://data.parliament.uk/resources/104505
no,2009-12-01,6.0,"European Financial Services Proposals, The Question be put",CD:2009-12-01:6,http://data.parliament.uk/resources/104497
no,2009-12-01,8.0,"Census, Main Question put forthwith (Order, 23 November)",CD:2009-12-01:8,http://data.parliament.uk/resources/104499
no,2009-11-26,4.0,"Taxation (international and other Provisions) Bill, Question put forthwith, That the Amendment be made (Standing Order No. 33)",CD:2009-11-26:4,http://data.parliament.uk/resources/104495
no,2009-11-25,1.0,"Adjournment (Christmas), That this House, at its rising on Wednesday 16 December 2009, do adjourn till Tuesday 5 January 2010",CD:2009-11-25:1,http://data.parliament.uk/resources/104492
no,2009-11-11,246.0,"Apprenticeships, Skills, Children and Learning bill (Programme) (no.2)) Motion made, and Question put forthwith (Standing Order No. 83A",CD:2009-11-11:246,http://data.parliament.uk/resources/104489
no,2009-11-10,245.0,"Welfare Reform Bill, That this House disagrees with Lords amendment 2",CD:2009-11-10:245,http://data.parliament.uk/resources/104488
no,2009-11-09,240.0,"Coroners and Justice Bill (Programme) (No.4), Motion made, and Question put forthwith (Standing Order No. 83A)",CD:2009-11-09:240,http://data.parliament.uk/resources/104483
no,2009-11-09,242.0,"Coroners and Justice Bill, That this House disagrees with Lords amendment 55",CD:2009-11-09:242,http://data.parliament.uk/resources/104485
no,2009-11-09,243.0,"Coroners and Justice Bill, That this House disagrees with Lords amendment 59",CD:2009-11-09:243,http://data.parliament.uk/resources/104486
no,2009-11-03,234.0,"Constitutional Reform and Governance Bill (Programme) (No. 2), Three quarters of an hour having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No. 83A)",CD:2009-11-03:234,http://data.parliament.uk/resources/104477
no,2009-10-19,226.0,"Economic Recovery and Welfare, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2009-10-19:226,http://data.parliament.uk/resources/104469
no,2009-10-13,217.0,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the Bill be now read the Third time",CD:2009-10-13:217,http://data.parliament.uk/resources/104460
